year,age,name,movie,gender
1963,37,Sidney Poitier,Lilies of the Field,m
1964,57,Rex Harrison,My Fair Lady,m
1965,42,Lee Marvin,Cat Ballou,m
1966,45,Paul Scofield,A Man for All Seasons,m
1967,42,Rod Steiger,In the Heat of the Night,m
1968,45,Cliff Robertson,Charly,m
1969,62,John Wayne,True Grit,m
1970,43,George C. Scott,Patton,m
1971,42,Gene Hackman,The French Connection,m
1972,48,Marlon Brando,The Godfather,m
1973,49,Jack Lemmon,Save the Tiger,m
1974,56,Art Carney,Harry and Tonto,m
1975,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,m
1976,60,Peter Finch,Network,m
1977,30,Richard Dreyfuss,The Goodbye Girl,m
1978,40,Jon Voight,Coming Home,m
1979,42,Dustin Hoffman,Kramer vs. Kramer,m
1980,37,Robert De Niro,Raging Bull,m
1981,76,Henry Fonda,On Golden Pond,m
1982,39,Ben Kingsley,Gandhi,m
1983,53,Robert Duvall,Tender Mercies,m
1984,45,F. Murray Abraham,Amadeus,m
1985,36,William Hurt,Kiss of the Spider Woman,m
1986,62,Paul Newman,The Color of Money,m
1987,43,Michael Douglas,Wall Street,m
1988,51,Dustin Hoffman,Rain Man,m
1989,32,Daniel Day-Lewis,My Left Foot,m
1990,42,Jeremy Irons,Reversal of Fortune,m
1991,54,Anthony Hopkins,The Silence of the Lambs,m
1992,52,Al Pacino,Scent of a Woman,m
1993,37,Tom Hanks,Philadelphia,m
1994,38,Tom Hanks,Forrest Gump,m
1995,32,Nicolas Cage,Leaving Las Vegas,m
1996,45,Geoffrey Rush,Shine,m
1997,60,Jack Nicholson,As Good as It Gets,m
1998,46,Roberto Benigni,Life Is Beautiful,m
1999,40,Kevin Spacey,American Beauty,m
2000,36,Russell Crowe,Gladiator,m
2001,47,Denzel Washington,Training Day,m
2002,29,Adrien Brody,The Pianist,m
2003,43,Sean Penn,Mystic River,m
2004,37,Jamie Foxx,Ray,m
2005,38,Philip Seymour Hoffman,Capote,m
2006,45,Forest Whitaker,The Last King of Scotland,m
2007,50,Daniel Day-Lewis,There Will Be Blood,m
2008,48,Sean Penn,Milk,m
2009,60,Jeff Bridges,Crazy Heart,m
2010,50,Colin Firth,The King's Speech,m
2011,39,Jean Dujardin,The Artist,m
2012,55,Daniel Day-Lewis,Lincoln,m
2013,44,Matthew McConaughey,Dallas Buyers Club,m
2014,33,Eddie Redmayne,The Theory of Everything,m
2015,41,Leonardo DiCaprio,The Revenant,m
2016,41,Casey Affleck,Manchester by the Sea,m
2017,59,Gary Oldman,Darkest Hour,m
2018,37,Rami Malek,Bohemian Rhapsody,m
2019,45,Joaquin Phoenix,Joker,m
2020,83,Anthony Hopkins,The Father,m
2021,53,Will Smith,King Richard,m
2022,54,Brendan Fraser,The Whale,m
